Question,Answer
Which country has the largest population?,China
Which country is known as the Land of the Rising Sun?,Japan
Which country has the most natural lakes?,Canada
Which country is famous for its pyramids?,Egypt
Which country is the largest by area?,Russia
Which country is the smallest by land area?,Vatican City
Which country is home to the Eiffel Tower?,France
Which country is known for its maple syrup production?,Canada
Which country is the birthplace of the Renaissance?,Italy
Which country is bordered by both the Atlantic and Pacific Oceans?,United States
Which country has the most volcanoes?,Indonesia
Which country is known as the Land of Fire and Ice?,Iceland
Which country is famous for its Carnival in Rio de Janeiro?,Brazil
Which country has a kangaroo as one of its national symbols?,Australia
"Which country has the city of Istanbul, which spans two continents?",Turkey
Which country is the world's largest producer of coffee?,Brazil
Which country is known for its high-quality chocolate and watches?,Switzerland
Which country is home to the ancient city of Petra?,Jordan
Which country is famous for its tulips and windmills?,Netherlands
Which country has the longest coastline?,Canada
Which country is famous for its fjords?,Norway
Which country was formerly known as Ceylon?,Sri Lanka
Which country is known for its pyramids besides Egypt?,Sudan
Which country has a maple leaf on its flag?,Canada
Which country is known as the Pearl of the Indian Ocean?,Sri Lanka
Which country has the city of Machu Picchu?,Peru
Which country is the largest island nation in the Mediterranean Sea?,Cyprus
Which country has the Amazon rainforest?,Brazil
Which country is known for its samba dance?,Brazil
Which country is the only one to border both Denmark and Russia?,Germany
Which country is famous for its Great Wall?,China
Which country has the city of Prague?,Czech Republic
Which country is the origin of the tango dance?,Argentina
Which country is famous for its Alps and yodeling?,Switzerland
Which country is the smallest in Africa by land area?,Seychelles
Which country has the world's largest coral reef system?,Australia
Which country has a dragon on its flag?,Bhutan
Which country is famous for its ancient Olympic Games?,Greece
Which country is landlocked between France and Spain?,Andorra
Which country is known for the ancient ruins of Angkor Wat?,Cambodia
Which country has the city of Dubai?,United Arab Emirates
Which country has the Andes mountain range?,Chile
Which country is the southernmost in South America?,Chile
Which country has a flag with a single star in the center?,Panama
Which country is home to Mount Kilimanjaro?,Tanzania
Which country is known for the Kremlin and Red Square?,Russia
Which country is famous for its Oktoberfest celebration?,Germany
Which country is known for its ancient pyramids and Nile River?,Egypt
Which country has the city of Casablanca?,Morocco
"Which country has the world's largest desert, the Sahara?",Algeria
